year,value_usd
1820,752.7
1850,820.7
1880,1274.1
1900,1446.3
1910,1835.1
1913,2203.5
1914,1962.4
1915,2033.6
1916,2260.2
1917,2205.6
1918,2362.6
1919,2194.7
1920,2209.9
1921,1847.1
1922,2051.6
1923,2412.4
1924,2254.6
1925,2225.7
1926,2304.4
1927,2301.9
1928,2286.5
1929,2470.2
1930,2251.4
1931,1995
1932,1611.2
1933,1569.9
1934,1745.4
1935,2018.2
1936,2239.7
1937,2415.2
1938,2251.1
1939,2311.4
1940,2499.2
1941,3092.5
1942,4451.6
1943,5468
1944,5914.3
1945,4586.2
1946,4345
1947,4231
1948,4448.1
1949,4228.900000000001
1950,4717.5
1951,5292.1
1952,5610.5
1953,5896.3
1954,5576.6
1955,6027.400000000001
1956,6301.700000000001
1957,6292.900000000001
1958,5882.400000000001
1959,6193.1
1960,6254.5
1961,6156.3
1962,7047.5
1963,7115.200000000001
1964,7290
1965,7843.5
1966,8422.800000000001
1967,8996.7
1968,9201.4
1969,9590.1
1970,9383.800000000001
1971,9206.1
1972,9428.6
1973,9881.1
1974,9819.800000000001
1975,9237.300000000001
1976,9629.6
1977,9756.6
1978,10076.7
1979,10229.9
1980,9802.4
1981,9677.6
1982,8978.9
1983,8874.300000000001
1984,9244.6
1985,9393.7
1986,9444.5
1987,9508.300000000001
1988,9527.1
1989,9856.800000000001
1990,9848.7
1991,9570.9
1992,9428.9
1993,9668.9
1994,10008.1
1995,9902.300000000001
1996,10019.1
1997,10201.9
1998,10570.9
1999,10859.6
2000,11097.1
2001,11203.9
2002,11309.6
2003,11280.1
2004,11360.3
2005,11231.9
2006,11159.8
2007,11467.4
2008,11300.9
2009,10730.3
2010,10682.2
2011,10496
2012,10277.1
2013,10595.1
2014,10459.2
2015,10700.2
2016,10572.1
2017,11189.2
2018,11270.8
2019,11601.6
2020,11186.1
2021,11589.7
2022,11628.6
2023,11894.9